交易时间,交易对方,商品,收/支,金额,支付方式,交易状态,交易分类,交易单号,商家订单号,备注
2026-03-01 10:00:00,京东平台商户A,白盒状态基线商品,支出,199.90,余额,交易成功,数码电器,JD-WB-001,MJD-001,case=status-success
2026-03-01 10:00:00,京东平台商户A,白盒状态基线商品,支出,199.90,余额,还款成功,数码电器,JD-WB-001,MJD-001,case=status-repay-success
2026-03-01 10:00:00,京东平台商户A,白盒状态基线商品,支出,199.90,余额,交易关闭,数码电器,JD-WB-001,MJD-001,case=status-closed
2026-03-01 10:00:00,京东平台商户A,白盒状态基线商品,支出,199.90,余额,退款成功,数码电器,JD-WB-001,MJD-001,case=status-refunded
2026-03-01 10:05:00,京东平台商户A,白盒方向对照商品,支出,199.90,余额,交易成功,数码电器,JD-WB-002,MJD-002,case=direction-expense
2026-03-01 10:05:00,京东平台商户A,白盒方向对照商品,收入,199.90,余额,交易成功,数码电器,JD-WB-002,MJD-002,case=direction-income
2026-03-01 10:05:00,京东平台商户A,白盒方向对照商品,不计收支,199.90,余额,交易成功,数码电器,JD-WB-002,MJD-002,case=direction-neutral
2026-03-01 10:10:00,京东平台商户B,白盒金额格式商品,支出,"1,099.90",工商银行储蓄卡,交易成功,电脑办公,JD-WB-003,MJD-003,case=amount-format
2026-03-02 09:30:00,京东基线商户,京东基线商品,支出,188.80,余额,交易成功,数码电器,JD-WB-C0,MJD-C0,append=baseline
2026-03-02 09:30,京东基线商户,京东基线商品,支出,188.80,余额,交易成功,数码电器,JD-WB-C0,MJD-C0,append=var-date-no-seconds
2026-03-02 09:30:00,京东商户-变化,京东基线商品,支出,188.80,余额,交易成功,数码电器,JD-WB-C0,MJD-C0,append=var-payee
2026-03-02 09:30:00,京东基线商户,京东基线商品-变化,支出,188.80,余额,交易成功,数码电器,JD-WB-C0,MJD-C0,append=var-item
2026-03-02 09:30:00,京东基线商户,京东基线商品,收入,188.80,余额,交易成功,数码电器,JD-WB-C0,MJD-C0,append=var-direction-income
2026-03-02 09:30:00,京东基线商户,京东基线商品,转入,188.80,余额,交易成功,数码电器,JD-WB-C0,MJD-C0,append=var-direction-transfer-in
2026-03-02 09:30:00,京东基线商户,京东基线商品,income,188.80,余额,交易成功,数码电器,JD-WB-C0,MJD-C0,append=var-direction-english-income
2026-03-02 09:30:00,京东基线商户,京东基线商品,支出,"¥1,288.80",余额,交易成功,数码电器,JD-WB-C0,MJD-C0,append=var-amount-format
2026-03-02 09:30:00,京东基线商户,京东基线商品,支出,188.80,京东白条,交易成功,数码电器,JD-WB-C0,MJD-C0,append=var-method
2026-03-02 09:30:00,京东基线商户,京东基线商品,支出,188.80,余额,还款成功,数码电器,JD-WB-C0,MJD-C0,append=var-status-repay-success
2026-03-02 09:30:00,京东基线商户,京东基线商品,支出,188.80,余额,交易关闭,数码电器,JD-WB-C0,MJD-C0,append=var-status-closed
2026-03-02 09:30:00,京东基线商户,京东基线商品,支出,188.80,余额,交易成功,电脑办公,JD-WB-C0,MJD-C0,append=var-category
2026-03-02 09:30:00,京东基线商户,京东基线商品,支出,188.80,余额,交易成功,数码电器,JD-WB-C0-REFX,MJD-C0,append=var-order-id
2026-03-02 09:30:00,京东基线商户,京东基线商品,支出,188.80,余额,交易成功,数码电器,JD-WB-C0,MJD-C0-MERX,append=var-merchant-id
