交易时间,交易对方,摘要,收/支,交易金额,交易状态,交易流水号,交易渠道,备注
2026-03-01 10:00:00,白盒对手方A,白盒状态基线摘要,支出,320.00,交易成功,ICBC-WB-001,手机银行,case=status-success
2026-03-01 10:00:00,白盒对手方A,白盒状态基线摘要,支出,320.00,交易失败,ICBC-WB-001,手机银行,case=status-failed
2026-03-01 10:00:00,白盒对手方A,白盒状态基线摘要,支出,320.00,已撤销,ICBC-WB-001,手机银行,case=status-cancelled
2026-03-01 10:00:00,白盒对手方A,白盒状态基线摘要,支出,320.00,已冲正,ICBC-WB-001,手机银行,case=status-reversed
2026-03-01 10:05:00,白盒对手方A,白盒方向对照摘要,支出,320.00,交易成功,ICBC-WB-002,手机银行,case=direction-expense
2026-03-01 10:05:00,白盒对手方A,白盒方向对照摘要,收入,320.00,交易成功,ICBC-WB-002,手机银行,case=direction-income
2026-03-01 10:05:00,白盒对手方A,白盒方向对照摘要,转出,320.00,交易成功,ICBC-WB-002,手机银行,case=direction-out-keyword
2026-03-01 10:10:00,白盒对手方B,白盒金额格式摘要,支出,"1,020.40",交易成功,ICBC-WB-003,网银,case=amount-format
2026-03-02 09:30:00,银行基线对手,银行基线摘要,支出,320.00,交易成功,ICBC-WB-E0,手机银行,append=baseline
2026-03-02,银行基线对手,银行基线摘要,支出,320.00,交易成功,ICBC-WB-E0,手机银行,append=var-date-ymd
2026/03/02 09:30:00,银行基线对手,银行基线摘要,支出,320.00,交易成功,ICBC-WB-E0,手机银行,append=var-date-slash-datetime
2026/03/02,银行基线对手,银行基线摘要,支出,320.00,交易成功,ICBC-WB-E0,手机银行,append=var-date-slash-date
2026-03-02 09:30:00,银行对手-变化,银行基线摘要,支出,320.00,交易成功,ICBC-WB-E0,手机银行,append=var-payee
2026-03-02 09:30:00,银行基线对手,银行摘要-变化,支出,320.00,交易成功,ICBC-WB-E0,手机银行,append=var-summary
2026-03-02 09:30:00,银行基线对手,银行基线摘要,收入,320.00,交易成功,ICBC-WB-E0,手机银行,append=var-direction-income
2026-03-02 09:30:00,银行基线对手,银行基线摘要,转出,320.00,交易成功,ICBC-WB-E0,手机银行,append=var-direction-transfer-out
2026-03-02 09:30:00,银行基线对手,银行基线摘要,in,320.00,交易成功,ICBC-WB-E0,手机银行,append=var-direction-english-in
2026-03-02 09:30:00,银行基线对手,银行基线摘要,out,320.00,交易成功,ICBC-WB-E0,手机银行,append=var-direction-english-out
2026-03-02 09:30:00,银行基线对手,银行基线摘要,未知方向,320.00,交易成功,ICBC-WB-E0,手机银行,append=var-direction-unknown-fallback
2026-03-02 09:30:00,银行基线对手,银行基线摘要,支出,"¥1,320.00",交易成功,ICBC-WB-E0,手机银行,append=var-amount-format
2026-03-02 09:30:00,银行基线对手,银行基线摘要,支出,320.00,已撤销,ICBC-WB-E0,手机银行,append=var-status-cancelled
2026-03-02 09:30:00,银行基线对手,银行基线摘要,支出,320.00,交易成功,ICBC-WB-E0-REFX,手机银行,append=var-reference
2026-03-02 09:30:00,银行基线对手,银行基线摘要,支出,320.00,交易成功,ICBC-WB-E0,网银,append=var-channel
