交易时间,交易类型,交易对方,商品,收/支,金额(元),支付方式,当前状态,交易单号,商户单号,备注
2026-03-01 10:00:00,二维码收款,白盒商户A,白盒状态基线商品,支出,66.66,零钱,支付成功,WX-WB-001,MWX-001,case=status-success
2026-03-01 10:00:00,二维码收款,白盒商户A,白盒状态基线商品,支出,66.66,零钱,对方已收钱,WX-WB-001,MWX-001,case=status-received
2026-03-01 10:00:00,二维码收款,白盒商户A,白盒状态基线商品,支出,66.66,零钱,对方已退还,WX-WB-001,MWX-001,case=status-returned
2026-03-01 10:00:00,二维码收款,白盒商户A,白盒状态基线商品,支出,66.66,零钱,已全额退款,WX-WB-001,MWX-001,case=status-full-refund
2026-03-01 10:05:00,二维码收款,白盒商户A,白盒方向对照商品,支出,66.66,零钱,支付成功,WX-WB-002,MWX-002,case=direction-expense
2026-03-01 10:05:00,二维码收款,白盒商户A,白盒方向对照商品,收入,66.66,零钱,支付成功,WX-WB-002,MWX-002,case=direction-income
2026-03-01 10:05:00,二维码收款,白盒商户A,白盒方向对照商品,不计收支,66.66,零钱,支付成功,WX-WB-002,MWX-002,case=direction-neutral
2026-03-01 10:10:00,转账,白盒商户B,白盒金额格式商品,支出,"1,234.56",银行卡,已到账,WX-WB-003,MWX-003,case=amount-format
2026-03-02 09:30:00,二维码收款,基线商户,基线商品,支出,66.66,零钱,支付成功,WX-WB-B0,MWX-B0,append=baseline
2026-03-02 09:30,二维码收款,基线商户,基线商品,支出,66.66,零钱,支付成功,WX-WB-B0,MWX-B0,append=var-date-no-seconds
2026/03/02 09:30:00,二维码收款,基线商户,基线商品,支出,66.66,零钱,支付成功,WX-WB-B0,MWX-B0,append=var-date-slash
2026-03-02 09:30:00,转账,基线商户,基线商品,支出,66.66,零钱,支付成功,WX-WB-B0,MWX-B0,append=var-tx-type
2026-03-02 09:30:00,二维码收款,白盒商户-变化,基线商品,支出,66.66,零钱,支付成功,WX-WB-B0,MWX-B0,append=var-payee
2026-03-02 09:30:00,二维码收款,基线商户,基线商品-变化,支出,66.66,零钱,支付成功,WX-WB-B0,MWX-B0,append=var-item
2026-03-02 09:30:00,二维码收款,基线商户,基线商品,收入,66.66,零钱,支付成功,WX-WB-B0,MWX-B0,append=var-direction-income
2026-03-02 09:30:00,二维码收款,基线商户,基线商品,转入,66.66,零钱,支付成功,WX-WB-B0,MWX-B0,append=var-direction-transfer-in
2026-03-02 09:30:00,二维码收款,基线商户,基线商品,income,66.66,零钱,支付成功,WX-WB-B0,MWX-B0,append=var-direction-english-income
2026-03-02 09:30:00,二维码收款,基线商户,基线商品,支出,"¥1,266.66",零钱,支付成功,WX-WB-B0,MWX-B0,append=var-amount-format
2026-03-02 09:30:00,二维码收款,基线商户,基线商品,支出,66.66,银行卡(8739),支付成功,WX-WB-B0,MWX-B0,append=var-method
2026-03-02 09:30:00,二维码收款,基线商户,基线商品,支出,66.66,零钱,对方已退还,WX-WB-B0,MWX-B0,append=var-status-returned
2026-03-02 09:30:00,二维码收款,基线商户,基线商品,支出,66.66,零钱,已全额退款,WX-WB-B0,MWX-B0,append=var-status-full-refund
2026-03-02 09:30:00,二维码收款,基线商户,基线商品,支出,66.66,零钱,支付成功,WX-WB-B0-REFX,MWX-B0,append=var-order-id
2026-03-02 09:30:00,二维码收款,基线商户,基线商品,支出,66.66,零钱,支付成功,WX-WB-B0,MWX-B0-MERX,append=var-merchant-id
